,BreedName,Count,Share
766,Chihuahua/Jack Russell mix,1,0.0
767,Havapeke,1,0.0
768,Maltese/ Shih Tzu,1,0.0
769,LAB RETRIEVER   MIX,1,0.0
770,RETRIEVER MIX,1,0.0
771,Pekapoo,1,0.0
772,bichon frise / shih tzu,1,0.0
773,Shih Tzu mix,1,0.0
774,Dachshund-Scottie,1,0.0
775,Jack Russell Mix,1,0.0
776,Shepherd/Chow,1,0.0
777,Chihuahua/Greyhound,1,0.0
778,AUSTRALIAN SHEP,1,0.0
779,JACKABEE /RUSS,1,0.0
780,Spitz Mix,1,0.0
781,Miniature Pinscher/Boxer,1,0.0
782,LHASA APSO/SHIH,1,0.0
783,Welsh Corgi Mix,1,0.0
784,YELLOW LAB/SHEPHERD MIX,1,0.0
785,RUSSEL,1,0.0
786,Collie / Retreiver,1,0.0
787,SHIHCHON,1,0.0
788,PAPILLON / AMERICAN ESKIMO,1,0.0
789,Poo-Chon,1,0.0
790,Corgy / labrador,1,0.0
791,Peagle,1,0.0
792,Cocker Poo,1,0.0
793,BEAGLE/BOXER X,1,0.0
794,MIX TERRIER,1,0.0
795,jack russel terrier mix,1,0.0
796,CHI/DACH MIX,1,0.0
797,STANDARD POODLE,1,0.0
798,BICHON-POODLE,1,0.0
799,Yorkie / Poodle mix,1,0.0
800,OLDE ENGLISH BULL DOG,1,0.0
801,Shihchon,1,0.0
802,PRYNESE/LAB X,1,0.0
803,america eskimo and poodle,1,0.0
804,SHORKIE-TZU,1,0.0
805,English Pointer Mix,1,0.0
806,toy aussie,1,0.0
807,mutt,1,0.0
808,UNKNOWN BREED?,1,0.0
809,Shepherd/Hound/Lab,1,0.0
810,COLLIE/SHEPHERD MIX,1,0.0
811,Pit Ter Lab,1,0.0
812,Hungarian Puli,1,0.0
813,LAB/GOLDEN RETRIEVER,1,0.0
814,Jack Russell / Mini Aussie Mix,1,0.0
815,CATTLEDOG MIXED,1,0.0
816,AFFENPINSCHER,1,0.0
817,pug-bijon,1,0.0
818,TREEING WALKER COONHOUND,1,0.0
819,Shepherd/Terrier Mix,1,0.0
820,Poodle/Italian Greyhound,1,0.0
821,Maltese/Pomeranian,1,0.0
822,SHAR-PEI,1,0.0
823,Spinone,1,0.0
824,MALTESE-SHIHTZU,1,0.0
825,TERRIER,1,0.0
826,BOSTON TERR/MIN BOXER,1,0.0
827,Shih Tzu / Terrier mix,1,0.0
828,Lab mix,1,0.0
829,Cocker Spaniel / Poodle,1,0.0
830,AMERICAN STAFFORDSHIE,1,0.0
831,MULTI,1,0.0
832,WHEATON TERRIER MIX,1,0.0
833,Dalhsund Maltese terrier mix,1,0.0
834,Cav KC,1,0.0
835,Chihuahua/Miniature Pinscher Mix,1,0.0
836,Cocker Spaniel /Mini Poodle Mix,1,0.0
837,TOY AUSSIE,1,0.0
838,Westiepoo,1,0.0
839,Red Poodle,1,0.0
840,maltese/yorkie,1,0.0
841,LAB/SHEPHERD X,1,0.0
842,CAVAZOO,1,0.0
843,LAB/COLLIE MIX,1,0.0
844,COCKALIER,1,0.0
845,ITALIAN GREYHOUND TERR MIX,1,0.0
846,Chihuahua/Yorkie Mix,1,0.0
847,Shepherd  Mix,1,0.0
848,TERR DASH MIX,1,0.0
849,LAB-AUSTRALIAN SHEPHERD MIX,1,0.0
850,Dogo/Pitbull/Bulldog mix,1,0.0
851,Chihuahua Short Coat,1,0.0
852,SCHNOCKER,1,0.0
853,Airedale,1,0.0
854,COCKERPOO,1,0.0
855,Silky Terrier Mix,1,0.0
856,Maltese Chihuahua Mix,1,0.0
857,Scott Terr/Shih Tsu,1,0.0
858,Smooth Hair Fox Terrier,1,0.0
859,Shoorkie,1,0.0
860,LAB/SPANIEL MIX,1,0.0
861,Shih Tzu/Bichon Mix,1,0.0
862,Maltese/shitzu,1,0.0
863,Peke A Ppp,1,0.0
864,"Possibly part terrier, part Labrador retriever",1,0.0
865,Chow Chow/ Lab,1,0.0
866,cocker spaniel/poodle mix,1,0.0
867,zuchon,1,0.0
868,Red Bone Coon Hound,1,0.0
869,Collie Beared Mix,1,0.0
870,BORDER COLLIE/TERRIER,1,0.0
871,CAVASHON,1,0.0
872,Chihuahua/Dachshund,1,0.0
873,JAP CHIN / MALTESE,1,0.0
874,MALT MIX,1,0.0
875,Cavalier King Charles/Bichon,1,0.0
876,AM STAFFORDSHIRE TERR,1,0.0
877,Unknown (stray),1,0.0
878,Tiny Goldendoodle,1,0.0
879,Jack Russell/Basenji,1,0.0
880,Havachon,1,0.0
881,JACK RUSS / CHIH,1,0.0
882,Lab retriver + pitt bull,1,0.0
883,mix breed,1,0.0
884,Whippet/Jack Russell Mix,1,0.0
885,Chihuhahu/Dachshund Mix,1,0.0
886,yorkie-poo,1,0.0
887,Norkie,1,0.0
888,RAT TERR,1,0.0
889,Poodle/Spaniel,1,0.0
890,Yorkshire-Poodle Mix,1,0.0
891,Lab/Hound Mix,1,0.0
892,Schnauzer,1,0.0
893,Miniature Poodle /Shih Tzu Mix,1,0.0
894,Schnauzer/Terrier Mix,1,0.0
895,German Shepherd Mix,1,0.0
896,Lhasa Mix,1,0.0
897,TERR MIX,1,0.0
898,Jack Russell Terrier X,1,0.0
899,HOUND MIXED,1,0.0
900,shepherd/terrier,1,0.0
901,BRITTANY SPAN,1,0.0
902,Shitzu/Poodle,1,0.0
903,SHEPHERD/ROTTIX,1,0.0
904,CHOW /SHARPEI MIX,1,0.0
905,Slovensky Cuvac,1,0.0
906,"shepherd, terrier, mastiff mix",1,0.0
907,Bergamasco,1,0.0
908,Labrador- Pointer Mixed,1,0.0
909,Cattle Dog - Blue Healer,1,0.0
910,Welsh  Springer Spaniel,1,0.0
911,HOUND/PIT BULL,1,0.0
912,Red Nose Pit Bull,1,0.0
913,Basset/Beagle Mix,1,0.0
914,ENG SETTER,1,0.0
915,Shepherd/Doberman Mix,1,0.0
916,"MALTESE/POODLE,TOY",1,0.0
917,DACHSHUND/POMER,1,0.0
918,MALTI-ZU,1,0.0
919,POODLE/BICHON,1,0.0
920,Husky Mixed,1,0.0
921,TOY AUSTRALIAN SHEPHERD,1,0.0
922,English Golden Doodle,1,0.0
923,MIXED HOUND,1,0.0
924,AM STAFFORD TERRIER MIX,1,0.0
925,Giant Schnoodle,1,0.0
926,SHAR PEI,1,0.0
927,Swedish Lapphund,1,0.0
928,Chihuahua/Pug  (Chug),1,0.0
929,Beagle/Dachshund Mix,1,0.0
930,Lab/Pit Bull,1,0.0
931,SATO X,1,0.0
932,lab/pit mix,1,0.0
933,Laasa Apso mix,1,0.0
934,PIT/LAB   X,1,0.0
935,Blue Merle Sheltie,1,0.0
936,Miniature Schnauzer/Poodle Mix,1,0.0
937,bichon/shihtzu,1,0.0
938,Chihuahua mix,1,0.0
939,AM PIT BULL TERRIER MIX,1,0.0
940,COCKA POO,1,0.0
941,SHITZU /POODLE,1,0.0
942,PATTERDALE TERRIER MIX,1,0.0
943,YORKSHIRE TERR X,1,0.0
944,POM / YORKIE,1,0.0
945,Dalmation/Terrier/Poodle,1,0.0
946,BOSTON TERR   X,1,0.0
947,PODENAO PORT,1,0.0
948,Terrier/Shih Tzu,1,0.0
949,Breed ?,1,0.0
950,Sharpal - Rat Terrier,1,0.0
951,Cur,1,0.0
952,Cock a poo,1,0.0
953,BRITTANY,1,0.0
954,Lab mixed,1,0.0
955,manchester terrier,1,0.0
956,pom-chi,1,0.0
957,BEAGLE/TERR X,1,0.0
958,Maltese / Yorkie Mix - Morkie,1,0.0
959,CAIRN TERRIER X,1,0.0
960,YORKSHIRE X,1,0.0
961,Goldendoole,1,0.0
962,Spitz,1,0.0
963,PIT BULL/LAB MIX,1,0.0
964,Lab Mutt Mix,1,0.0
965,WIRE FOX TERR MIX,1,0.0
966,Chihuahua/Jack Russel,1,0.0
967,Yorki-Poo,1,0.0
968,HUSKY/GERM SHEPHERD MIX,1,0.0
969,australian labradoodle,1,0.0
970,Shepherd Pintzer,1,0.0
971,Spanador,1,0.0
972,BEARDED COLLIE  X,1,0.0
973,Pomeranian mix,1,0.0
974,papitese,1,0.0
975,Hound Mastiff,1,0.0
976,Shih Tzu/Bischon Mix,1,0.0
977,Maltese-Terrier Mix,1,0.0
978,Walker Hound,1,0.0
979,POODLE MIXED,1,0.0
980,Springer Spaniel,1,0.0
981,Pit Mix,1,0.0
982,MINI DOBERMAN,1,0.0
983,Havashire,1,0.0
984,Mini Golden Doodle,1,0.0
985,HUSKY GER SHEP HOUND,1,0.0
986,MIX-BORDER COLLIE -HUSKY-SHEPHERD,1,0.0
987,Jack Russell X,1,0.0
988,Maltese-Pomeranian,1,0.0
989,Pom-Chi,1,0.0
990,BORDER COLLIE  X,1,0.0
991,Hound/Labrador Mix,1,0.0
992,Beagle/Fr.Bull Dog,1,0.0
993,cockachon,1,0.0
994,spaniel/terrier?,1,0.0
995,Lhatese,1,0.0
996,Hound/Lab Mix,1,0.0
997,LAB/CORGI X,1,0.0
998,Taiwan Mountain Dog,1,0.0
999,Dachshund/Beagle,1,0.0
1000,LAB WEIMARNER,1,0.0
1001,BRITTANY   X,1,0.0
1002,Beagle-Pei,1,0.0
1003,Poodle/Bichon,1,0.0
1004,Wheaton Terrier Mix,1,0.0
1005,MINI BULLDOG,1,0.0
1006,AUS SHEP/HEELER/RET,1,0.0
1007,DACHSHUN/CHIHUA,1,0.0
1008,POODLE/WESTIE,1,0.0
1009,YORKISHIRETERRIER/ MALTESE MORKIE,1,0.0
1010,Boxer / Shepherd Mix,1,0.0
1011,BORDER COLLIE X,1,0.0
1012,Polanese,1,0.0
1013,Pyrenees Poodle Mix,1,0.0
1014,Shepherd  X,1,0.0
1015,Unknown Hound mix,1,0.0
1016,shih tzu / maltese mix,1,0.0
1017,chihuahua/terrier mix,1,0.0
1018,Blackmouthcur,1,0.0
1019,SHELTIE SHEP MIX,1,0.0
1020,TERR / SHEP,1,0.0
1021,Germ Shep/Siberian Husky,1,0.0
1022,Sheltie/Jack Russ Mix,1,0.0
1023,Chihuahua  Mixed,1,0.0
1024,Peke-A-Tese,1,0.0
1025,Maltese/Havanese,1,0.0
1026,Schanuzer/Yorkie,1,0.0
1027,Schnauzer /Poodle Mix,1,0.0
1028,PARSON RUSSELL TERRIER,1,0.0
1029,Mix,1,0.0
1030,Retriever/Dachshund Mix,1,0.0
1031,Golden doodle,1,0.0
1032,Pomeranian-Maltese,1,0.0
1033,Great Dane Mix,1,0.0
1034,SCHNAUZER X,1,0.0
1035,Shih-Malt,1,0.0
1036,Cava-poo,1,0.0
1037,YORKIE TERRIER MIX,1,0.0
1038,Beagle Mixed,1,0.0
1039,Hound / Retriever Mixed,1,0.0
1040,Hound/Lab,1,0.0
1041,Husky/Lab Mix,1,0.0
1042,FLAT-COATED RETRIEVER,1,0.0
1043,chinese crested,1,0.0
1044,wheaton mix,1,0.0
1045,Collie Mix,1,0.0
1046,Maltese/Chihuahua Mix,1,0.0
1047,Tea Cup Poodle,1,0.0
1048,White Terrier,1,0.0
1049,SHIHT-ZU IMPERIAL,1,0.0
1050,"Sapsal, Korea",1,0.0
1051,corgi/akita,1,0.0
1052,AUST SHEPHERD,1,0.0
1053,Beagle/Shepherd Mix,1,0.0
1054,boerboel,1,0.0
1055,Teddy-Bear,1,0.0
1056,German pinscher,1,0.0
1057,GOLD RETR/CHOW,1,0.0
1058,MOUNTAIN FEIST,1,0.0
1059,COOCKAPOO,1,0.0
1060,BULLDOG MIX,1,0.0
1061,maltese westie mix,1,0.0
1062,American Bulldog,1,0.0
1063,Cav King Ch Sp /Mix,1,0.0
1064,Frend Poo,1,0.0
1065,Sheltie,1,0.0
1066,schipperke mix rescue,1,0.0
1067,YORKIE POODLE X,1,0.0
1068,BIEWER TERR,1,0.0
1069,Australian Cattle Dog/Hound Mix,1,0.0
1070,Dachshund/Chihuahua Mix,1,0.0
1071,MALT POODLE,1,0.0
1072,BOXER X,1,0.0
1073,Bichon Frise/Poodle-Terrier,1,0.0
1074,SPITZ X,1,0.0
1075,Yorkie Poodle,1,0.0
1076,SHIH TUZ & POODLE MIX,1,0.0
1077,shih tzu mix,1,0.0
1078,Chow / Retriever Mixed,1,0.0
1079,GOLDEN RET HUSKY MIX,1,0.0
1080,Terrier and Chihuahua mix maybe,1,0.0
1081,Shepherd/Boxer,1,0.0
1082,Yorkie-Maltese,1,0.0
1083,YorkshireTerrier /Shih Tzu Mix,1,0.0
1084,SHI-POO,1,0.0
1085,PEAK-A-POO,1,0.0
1086,LHASA APSO/POOD,1,0.0
1087,CHIHUAHUA-JACK RUSSELL TERRIER,1,0.0
1088,TERRIER BOXER MIX,1,0.0
1089,Huckapoo,1,0.0
1090,CORKY MIX,1,0.0
1091,LAB/SPANIEL X,1,0.0
1092,POODLE/MALTESE,1,0.0
1093,SHINESE,1,0.0
1094,boggle,1,0.0
1095,Pomeranian - Poodle Mix,1,0.0
1096,corg mix,1,0.0
1097,Labrador/Boxer/Beagle,1,0.0
1098,Malchi,1,0.0
1099,Pekingese/Shih Tzu Mix,1,0.0
1100,"Pembroke Welsh Corgi, Dachshund, Spaniel Mix",1,0.0
1101,RUSSKIY TOY SMOOTHHAIRED,1,0.0
1102,ITAL GREYHOUND MIX,1,0.0
1103,MALSHIPOO,1,0.0
1104,Staffordshire Terrier Mix,1,0.0
1105,Mutt,1,0.0
1106,Shichon,1,0.0
1107,French Beagle,1,0.0
1108,JACK RUSSEL  & TOY FOX TERR,1,0.0
1109,MALTESE MIX,1,0.0
1110,mix/hound/lab,1,0.0
1111,COOCKER-POO,1,0.0
1112,CHIHUAHUA/JACK RUSSELL MIX,1,0.0
1113,chih/dach mix,1,0.0
1114,Havenese-Poodle,1,0.0
1115,yorkie poodle,1,0.0
1116,"rotweiller, german shepard",1,0.0
1117,SHIMALT,1,0.0
1118,YORKIE-BICHON,1,0.0
1119,terrier/mix,1,0.0
1120,Collie/Retriever,1,0.0
1121,Malagasssy coton du tulear,1,0.0
1122,westie terrier-schnauser mix,1,0.0
1123,SHIH TZU/POODLE,1,0.0
1124,"Vizsla, mini pin",1,0.0
1125,shepherd/collie mix,1,0.0
1126,LAB/CHOW CHOW,1,0.0
1127,Shih Tzu/ Poodle,1,0.0
1128,Havanese/Maltese,1,0.0
1129,chow mix,1,0.0
1130,Yorkie Mixed,1,0.0
1131,Golden Retiever Mix,1,0.0
1132,DACHSHAUN/POODLE,1,0.0
1133,AUST CTTLE DG X,1,0.0
1134,Stafford Shire mix,1,0.0
1135,Fox/Sheltie,1,0.0
1136,TOY SCHNAUZER,1,0.0
1137,Pit Bull  Mix,1,0.0
1138,BRINDLE PIT BULL,1,0.0
1139,GSD-TERRIER,1,0.0
1140,Beagle- Chow- Shepherd Mix,1,0.0
1141,Cigi,1,0.0
1142,Shepherd /Pit Bull Mix,1,0.0
1143,Yorkie/fox terrier mix,1,0.0
1144,Unknown/Cross,1,0.0
1145,WELSH SPRINGER SPANIEL,1,0.0
1146,Rat Terrier X,1,0.0
1147,JACK RUSS TERRI,1,0.0
1148,SCHNAUZER/POODLE,1,0.0
1149,terrier daschund mix,1,0.0
1150,Labrador/Terrier mix,1,0.0
1151,BREED?,1,0.0
1152,pitbull/ pointer,1,0.0
1153,Chihuahua/Terrier,1,0.0
1154,"rabies,bordetella",1,0.0
1155,Aust.Shepherd Mix,1,0.0
1156,LHASA APSO/TERR,1,0.0
1157,Blue Nose Pit Bull,1,0.0
1158,Part Golden Retriever,1,0.0
1159,Terri / Havanese,1,0.0
1160,DUTCH SHEPHERD MIX,1,0.0
1161,DOBERMAN,1,0.0
1162,Maltese/Chihuahua,1,0.0
1163,BASENJI/TERR X,1,0.0
1164,Chiuaua Pug mix,1,0.0
1165,Catahoula Leopard,1,0.0
1166,Yellow Lab Mix,1,0.0
1167,LABRADOR/TERRIER,1,0.0
1168,HavaChon,1,0.0
1169,GOLDEN RETR/CATTLE DOG,1,0.0
1170,Pekingese - Maltese Mix,1,0.0
1171,Boxer/Hound Mix,1,0.0
1172,Mini Pinscher Mixed,1,0.0
1173,Border Collie-Shepherd Mix,1,0.0
1174,AUS.CATTLEDOG X,1,0.0
1175,IBIZAN HOUND,1,0.0
1176,HUSKY X LAB,1,0.0
1177,ENGLISH MASTIFF,1,0.0
1178,Shih Tzu/Lhasa,1,0.0
1179,Shih tzu mix,1,0.0
1180,AUSSIE DOXI   X,1,0.0
1181,Cocker-Poo,1,0.0
1182,FRENCHIE,1,0.0
1183,KOOIKERHONDJE,1,0.0
1184,retriever mix,1,0.0
1185,Sheltie Poo,1,0.0
1186,BEAGLE    X,1,0.0
1187,FOX TERRIER X,1,0.0
1188,Lhasa-Poo,1,0.0
1189,FEIST MIX,1,0.0
1190,CHIHUAHUA TERRIER,1,0.0
1191,BEAGLE/COCKER SPANIEL MIX,1,0.0
1192,MALTESE SHIHTZU,1,0.0
1193,Miniature Dachshund,1,0.0
1194,Boxer Chow Lab Mix,1,0.0
1195,Lhasa/Malt,1,0.0
1196,Peekapoo,1,0.0
1197,MALTI-SHI,1,0.0
1198,Peek -A-Poo,1,0.0
1199,BRITISH LAB,1,0.0
1200,Bichon/Shih Tzu,1,0.0
1201,MASTIFF X,1,0.0
1202,pointer mix,1,0.0
1203,staffordshire Terrier mix,1,0.0
1204,YORKSHIRE TERRI,1,0.0
1205,MANCHESTER TERRIER,1,0.0
1206,Beagle Mix,1,0.0
1207,Miniature Pincher Mix,1,0.0
1208,LABRADOR/FOX TERR MIX,1,0.0
1209,BICHON POO,1,0.0
1210,Pointer/Border Collie,1,0.0
1211,Retreiver X,1,0.0
1212,Chihuahua Mixed,1,0.0
1213,Lab/Doberman/Sheepdog,1,0.0
1214,Maltese/ Shih Tzu Mix,1,0.0
1215,CHIH TERR,1,0.0
1216,Poodle /Cocker Spaniel Mix,1,0.0
1217,SHIH TZU/CHIHUAHAUA MIX,1,0.0
1218,Shitzu X,1,0.0
1219,MIN SCHNAUZER/MIN POODLE,1,0.0
1220,border collie mix,1,0.0
1221,Shepherd/Collie,1,0.0
1222,Lab Bord Collie X,1,0.0
1223,Yorkie / Maltese,1,0.0
1224,Ori-Pei,1,0.0
1225,Shih Tzu X,1,0.0
1226,COLLIE/SHEP MIX,1,0.0
1227,chi-spaniel,1,0.0
1228,Glen Of Imaal Terrier,1,0.0
1229,LAB/SHIBA INU  X,1,0.0
1230,Goldendoddle,1,0.0
1231,Mixed breed,1,0.0
1232,Bull Mastiff Mix,1,0.0
1233,TEACUP MALTESE,1,0.0
1234,Irish Weaton,1,0.0
1235,JOY FOX TERRIER,1,0.0
1236,Terrier/Corgi Mix,1,0.0
1237,RED NOSE PIT BULL,1,0.0
1238,IR TERR/BAS HOU,1,0.0
1239,POODLE/YORKY,1,0.0
1240,BERNSES MOUNT DOG MIX,1,0.0
1241,Lab Pointer Hound,1,0.0
1242,CHIH POMER,1,0.0
1243,Border Collie/Heeler Mix,1,0.0
1244,ENG COCKER SPANIEL,1,0.0
1245,Pinscher Mix,1,0.0
1246,YORKER/JACKRUSELL/CHIHUAHUA,1,0.0
1247,BORDER COLLIE/AUSTRALIAN SHEPHERD,1,0.0
1248,Blue Nose Pit Bull /American Pit Bull Mix,1,0.0
1249,Maltese / Shih Tzu Mix,1,0.0
1250,Sheltie Mix,1,0.0
1251,SPANIEL/CHIHUAHUA,1,0.0
1252,Mix Poodle,1,0.0
1253,YORKSHI/MALTESE,1,0.0
1254,Maltese X,1,0.0
1255,Terrier/Australian Mix,1,0.0
1256,TIBETAN TERRIER MIX,1,0.0
1257,JACK RUSSELL,1,0.0
1258,labrador retriever/mix,1,0.0
1259,LHASA/POODLE,1,0.0
1260,MALT - POO,1,0.0
1261,Mi-KI,1,0.0
1262,SHIBA INU X,1,0.0
1263,DACHSHUND   X,1,0.0
1264,shih-tzu mix,1,0.0
1265,CHISH X,1,0.0
1266,CORGI/RETRIEV X,1,0.0
1267,Malsish,1,0.0
1268,CAVA POO,1,0.0
1269,Louisiana Catahoula Leopard,1,0.0
1270,Hound X,1,0.0
1271,welsh terrier,1,0.0
1272,Chow Chow/Bull Terr.Mix,1,0.0
1273,PITBULL/MASTIFF MIX,1,0.0
1274,CHI-POO,1,0.0
1275,BICHON F/T PDLE,1,0.0
1276,FOX TER/C.SPAN,1,0.0
1277,Yorkie-Bichon,1,0.0
1278,SHORKIE TZU,1,0.0
1279,Shih Tzu / Poodle Mix,1,0.0
1280,Cavalier,1,0.0
1281,MIXED/AUSTRALIAN TERRIER,1,0.0
1282,Westie-Poodle,1,0.0
1283,Toy Austrialian Shepherd,1,0.0
1284,German shepherd/Corgi,1,0.0
1285,SHEP MIX,1,0.0
1286,SHIHMALT,1,0.0
1287,Lhaso Apso Mix,1,0.0
1288,Xoloitzcuintli/Basset Hound,1,0.0
1289,Jack Russell Terrier/Puggle,1,0.0
1290,Terrier/Labrador X,1,0.0
1291,Bull Dog / Beagle,1,0.0
1292,PARSON RUSSELL TERR,1,0.0
1293,Chi wee nie,1,0.0
1294,Berger Pichard,1,0.0
1295,LakelandTerrier,1,0.0
1296,Shotzy Mix,1,0.0
1297,TOY POODLE MIX,1,0.0
1298,Shysuu Poodle Mini,1,0.0
1299,Hound Cattle Dog,1,0.0
1300,whoodle,1,0.0
1301,Miniature Dacshund,1,0.0
1302,BRUSSEL GRIFFON,1,0.0
1303,WHIPPET MIX,1,0.0
1304,Yorkshire Terrier/Dachshund Mix,1,0.0
1305,LHASA APSO MIX,1,0.0
1306,SILKY-POO,1,0.0
1307,PORTUGESE W.DOG,1,0.0
1308,YORKIDOODLE,1,0.0
1309,WHOODLE,1,0.0
1310,Labra Doodle,1,0.0
1311,chihuahua-yorkie,1,0.0
1312,Havenese/Shih-Tzu Mix,1,0.0
1313,Coonhound/Shepherd Mix,1,0.0
1314,HUSKY/KELPIE,1,0.0
1315,BEAGLE / JACK RUSSELL  X,1,0.0
1316,Staffordshire/Pit,1,0.0
1317,DACHSHUND / DOXIE,1,0.0
1318,Viszla Mix,1,0.0
1319,Poodle/pomeranian mix,1,0.0
1320,Cocker Spaniel/Poodle Mix,1,0.0
1321,Jack Russell / Pug Mix,1,0.0
1322,HAVACOV,1,0.0
1323,Amer.Eskimo Dog Mix,1,0.0
1324,Tibetan Terrier/Havanese Mix,1,0.0
1325,SHIHTZU-A-POO,1,0.0
1326,PEKA-POO,1,0.0
1327,Peke-A-Poo/Shih-Poo,1,0.0
1328,Beagle/English Bull Dog,1,0.0
1329,SHORKY,1,0.0
1330,GOLDEN RETR/CORGY MIX,1,0.0
1331,Chihuahua/Yorkshire Terrier,1,0.0
1332,CHIH/POO,1,0.0
1333,Chocolate Labrador Retriever,1,0.0
1334,Rat Terrier   X,1,0.0
1335,Peke-A-Pom,1,0.0
1336,Yorkshire/Poodle,1,0.0
1337,BL NOSE PIT BULL,1,0.0
1338,Great Swiss Mountain Dog,1,0.0
1339,MINI AUST SHEP,1,0.0
1340,Golden Retriever/Labrador Mix,1,0.0
1341,YORKIE/WESTY   X,1,0.0
1342,DACHSUND / MIX,1,0.0
1343,MALTESE/YORKIE,1,0.0
1344,TEACUP POODLE,1,0.0
1345,MALT/YORKSHIRE TERRIER,1,0.0
1346,Catahoula Leopard/Mix,1,0.0
1347,Cocker Spaniel/Miniature Poodle,1,0.0
1348,maltese/ yorkie,1,0.0
1349,Westi-Poo,1,0.0
1350,Shipa,1,0.0
1351,PEAGLE,1,0.0
1352,LABRADOR/COLLIE,1,0.0
1353,Shih Tzu/Papillion,1,0.0
1354,Lab-Chow-Newfie Mix,1,0.0
1355,Bull Dog/Sher pei Mixed,1,0.0
1356,LHASA-POO,1,0.0
1357,Beagle/Dachsund,1,0.0
1358,Havanese/Cavalier King Charles mix,1,0.0
1359,bichon-poodle mix,1,0.0
1360,Feist Mix,1,0.0
1361,SHEPARD MIX,1,0.0
1362,Dachshund/Poodle mix,1,0.0
1363,Bichon-Poo,1,0.0
1364,Terrier/Pointer Mix,1,0.0
1365,CHIWEENIE,1,0.0
1366,Beagle / Mix,1,0.0
1367,MINI LABRADOODLE,1,0.0
1368,Shih Tzu / Yorkie Mix,1,0.0
1369,S.C.WHEATEN TER,1,0.0
1370,YORKIE-SHIH TZU,1,0.0
1371,YORKIE RAT TERR,1,0.0
1372,CATAHOULA LEOPARD CUR,1,0.0
1373,Long Hair Chihuahua,1,0.0
1374,BASSETT TERRIER MIX,1,0.0
1375,Yorkshire/Maltese,1,0.0
1376,Possibly a Parson Russell Terrier mixed with Chiwa,1,0.0
1377,Husky and Akita Mix,1,0.0
1378,Taiwan Mountain,1,0.0
1379,Labrador/Coon Hound,1,0.0
1380,peke-a-poo,1,0.0
1381,Shih tzo mix,1,0.0
1382,Caroline Dog,1,0.0
1383,lab/border collie mix,1,0.0
1384,Aussie Cattle Dog Heeler,1,0.0
1385,Collie Shepherd Mix,1,0.0
1386,IRISH JACK RUSS,1,0.0
1387,Havanese Mix,1,0.0
1388,ShihTzu/Poodle,1,0.0
1389,Maltese / Shih tzu,1,0.0
1390,AUS SHEPHERD/BORDER COLLIE MIX,1,0.0
1391,Jack Russell Terrier- Chihuahua Mix,1,0.0
1392,Havanese/Chihuahua,1,0.0
1393,Jack Russell/Shih Tzu Mix,1,0.0
1394,Border Collie X,1,0.0
1395,PUG/CHIHU/POMER,1,0.0
1396,BEARDED COLLIE,1,0.0
1397,Dachshund / Retriever Mix,1,0.0
1398,POOCHON,1,0.0
1399,ITALIAN SPINONE,1,0.0
1400,Labrador/G.Shep,1,0.0
1401,BLACK LAB MULTI,1,0.0
1402,AM TERRIER,1,0.0
1403,MAERICAN STAFFORDSHIRE MIX,1,0.0
1404,Matipoo,1,0.0
1405,Morky,1,0.0
1406,beagle / dachshund,1,0.0
1407,Shih Chon,1,0.0
1408,dachshund/chihuahua mix,1,0.0
1409,pekopoo,1,0.0
1410,NO IDEA,1,0.0
1411,Cocoer-poo,1,0.0
1412,Poodle/Jack Russel Terrier  mix,1,0.0
1413,Pit Bull/Mastiff,1,0.0
1414,Corgi Rat Terrier,1,0.0
1415,Yorkshire Terrier Mix,1,0.0
1416,Mini Pin Mixed,1,0.0
1417,HAVA POO,1,0.0
1418,POODLE/SCHNZR X,1,0.0
1419,hound-cattle dog,1,0.0
1420,SCHNOODLE X,1,0.0
1421,Catahoula Lab mix,1,0.0
1422,PIT BULL TERRIER,1,0.0
1423,Spaniel/Labrador,1,0.0
1424,Rescued. Beagle/shih tzu,1,0.0
1425,PERKINGESE/DASCHUND MIX,1,0.0
1426,Boston Terrier / Lhasa Apso,1,0.0
1427,poodle mix,1,0.0
1428,Terrier/ Whippet,1,0.0
1429,Havanese/Coton Detulear,1,0.0
1430,SHEPHERD  MIX,1,0.0
1431,SHIH TZU / YORKIE,1,0.0
1432,TERRIER   X,1,0.0
1433,HAVAPOO,1,0.0
1434,Australian Shepard mix?,1,0.0
1435,AKITA MIX,1,0.0
1436,ENGLISH COCKER SPANIEL,1,0.0
1437,SILKY TERRIER X,1,0.0
1438,unknown mix,1,0.0
1439,YORKIE TERR MIX,1,0.0
1440,Lab Bord Collie,1,0.0
1441,labrador/cattle dog,1,0.0
1442,Pomapoo,1,0.0
1443,Yorkshire Terr. Mix,1,0.0
1444,Small Munsterlander,1,0.0
1445,Cocker/Cavalier,1,0.0
1446,min pi n/poodle,1,0.0
1447,AMERICAN SPANIEL MIX,1,0.0
1448,SHIH TZU/BICHON FRISE MIX,1,0.0
1449,CHIHUAHUA/PUG MIX,1,0.0
1450,GERMAN SHEPHARD ROTTWEILER,1,0.0
1451,Puggle/Beagle Mix,1,0.0
1452,Schnauzer/Poodle,1,0.0
1453,"SHIH-TZU, POODLE",1,0.0
1454,JACK RUSSELL TERR MIX,1,0.0
1455,AM STAFF TER X,1,0.0
1456,Whippet Mix,1,0.0
